month,day,year,group,location,id,uid_4826,substem,y,x,species,dbh_cm,crown_condition,trunk_damage,comments,problems
September,21,2021,MEGY,SMU campus,117,117,,,,,10.3,G,N,5.7,
September,6,2021,MEGY,SMU campus,119,119,,,,MAAM,8,G,N,"DBH:5, 5",
September,21,2021,MEGY,SMU campus,120,120,,,,,35.3,F,N,,
September,6,2021,KJCL,SMU campus,122,122,,,,ULGL,50.9,P,N,adjacent trunk shaved and cut (seperate tree),
September,6,2021,KJCL,SMU campus,124,124,,,,ULGL,66.2,F,N,,
September,6,2021,KJCL,SMU campus,126,126,,,,ACRU,18.6,G,N,DBH:15.7,
September,6,2021,MEGY,SMU campus,128,128,,,,BEPA,25,G,Y,,
September,6,2021,MEGY,SMU campus,129,129,,,,BEPA,9.7,G,Y,,
September,6,2021,MEGY,SMU campus,130,130,,,,QURO,25.4,G,N,,
September,6,2021,MEGY,SMU campus,131,131,,,,ACPL,33.5,G,N,"insect damage on leaves, fungal disease ",
September,6,2021,MEGY,SMU campus,132,132,,,,ACPL,25,G,N,fungal disease,
September,6,2021,MEGY,SMU campus,133,133,,,,ACPL,40.5,G,N,diseased leaves,
September,6,2021,MEGY,SMU campus,134,134,,,,ULGGL,16.5,G,N,,
September,6,2021,MEGY,SMU campus,135,135,,,,ACRU,50.5,G,Y,,
September,6,2021,MEGY,SMU campus,136,136,,,,ACRU,47.8,G,Y,,
September,6,2021,KJCL,SMU campus,137,137,,,,QURU,63.3,G,N,,
September,6,2021,KJCL,SMU campus,138,138,,,,ULGL,25.5,G,N,,
September,6,2021,KJCL,SMU campus,140,140,,,,TICO,26.3,F,N,few dead branches,
September,6,2021,KJCL,SMU campus,141,141,,,,PHAM,22.1,F,N,"DBH: 16.8, 13.4",
September,6,2021,KJCL,SMU campus,143,143,,,,JUCI,37.5,G,N,butternut? persial walnut? species ID unsure,
September,6,2021,KJCL,SMU campus,144,144,,,,JUAI,25.7,G,Y,other: 25.1,
September,21,2021,MEGY,SMU campus,145,145,,,,,7.5,G,N,"4.8, 3.9",
September,21,2021,MEGY,SMU campus,146,146,,,,,101.5,G,N,,
September,21,2021,MEGY,SMU campus,147,147,,,,,130,G,N,,
September,6,2021,MEGY,SMU campus,148,148,,,,COCO,14.5,G,N,"14.5cm, 13.0cm",
September,6,2021,MEGY,SMU campus,149,149,,,,SASP,11.5,G,N,"diseased leaves, 10.3 cm, 11.7",
September,6,2021,MEGY,SMU campus,150,150,,,,,25,G,Y,,
September,6,2021,MEGY,SMU campus,151,151,,,,,22.4,G,N,"8.6, 14",
September,6,2021,KJCL,SMU campus,152,152,,,,ACGR,8,G,N,,
September,6,2021,KJCL,SMU campus,153,153,,,,ACRU,52,G,Y,,
September,21,2021,MEGY,SMU campus,154,154,,,,,52.3,G,Y,,
September,6,2021,MEGY,SMU campus,155,155,,,,CASP,45.7,F,N,DBH: 19.0 cm,
September,6,2021,MEGY,SMU campus,156,156,,,,,31,G,N,70,
September,6,2021,MEGY,SMU campus,157,157,,,,CASP,24.2,F,N,DBH: 23.0 cm,
September,6,2021,MEGY,SMU campus,158,158,,,,CASP,26.2,G,N,"DBH:20.0 cm, 16.6 cm",
September,6,2021,MEGY,SMU campus,159,159,,,,AREL,14.5,G,Y,"13.0, 13.0, 11.2",
September,6,2021,MEGY,SMU campus,160,160,,,,ACCA,33.5,G,N,,
September,6,2021,MEGY,SMU campus,161,161,,,,SYRE,16.4,G,N,15.7cm,
September,6,2021,MEGY,SMU campus,162,162,,,,TSCA,19,G,N,,
September,14,2021,MEGY,SMU campus,163,163,,,,PRSE,24.3,G,N,,
September,14,2021,MEGY,SMU campus,165,165,,,,,18.3,G,N,"DBH: 16.9, 8.3, 10.8",
September,14,2021,MEGY,SMU campus,166,166,,,,,17.4,P,N,"DBH: 13.4, 7.3, 9.3",
September,14,2021,MEGY,SMU campus,168,168,,,,,27,G,N,,
September,14,2021,MEGY,SMU campus,169,169,,,,,15.4,G,N,"DBH: 6.0, 4.3",
September,14,2021,MEGY,SMU campus,170,170,,,,,37.3,G,N,,
September,14,2021,MEGY,SMU campus,171,171,,,,,2.2,G,N,Tethered,
September,14,2021,MEGY,SMU campus,172,172,,,,,35,G,N,,
September,6,2021,KJCL,SMU campus,173,173,,,,ACPL,89.1,F,Y,fungal disease,
September,6,2021,KJCL,SMU campus,174,174,,,,ULGL,88.2,G,N,,
September,6,2021,KJCL,SMU campus,175,175,,,,ULGL,97,G,Y,,
September,6,2021,KJCL,SMU campus,176,176,,,,ULGL,105.4,G,N,,
September,14,2021,KJCL,SMU campus,177,177,,,,ULAM,64.5,F,Y,DBH: 55.5,
September,14,2021,KJCL,SMU campus,178,178,,,,ULAM,64.4,F,Y,Leaf damage-browning of edges,
September,14,2021,KJCL,SMU campus,179,179,,,,AEHI,5.7,G,N,"insect damage, leaves browning",mislabeled map
September,14,2021,KJCL,SMU campus,180,180,,,,Malus Sp.,9.3,G,N,,
September,14,2021,KJCL,SMU campus,181,181,,,,FREX,74.3,G,N,,
September,14,2021,KJCL,SMU campus,182,182,,,,SOIN,14,G,Y,"Browning leaves, DBH:13.3, 7.0, 8.2, 12.8, 11.4",
September,14,2021,KJCL,SMU campus,185,185,,,,CEJA,41.2,G,N,Couldn't measure @breast height,
September,14,2021,MEGY,SMU campus,186,186,,,,,25.9,G,Y,,
September,14,2021,MEGY,SMU campus,187,187,,,,,18.5,G,N,14.4,
September,14,2021,MEGY,SMU campus,188,188,,,,,18.3,F,N,,
September,14,2021,KJCL,SMU campus,189,189,,,,Malus Sp.,17,F,N,DBH: 8.6,
September,14,2021,KJCL,SMU campus,192,192,,,,ULAM,33.6,F,N,DBH: 19.8,
September,14,2021,KJCL,SMU campus,193,193,,,,CEOC,33.4,F,N,,
September,14,2021,KJCL,SMU campus,194,194,,,,ACPA,6.2,G,Y,DBH: 4.1 - Tethered,
September,14,2021,KJCL,SMU campus,195,195,,,,BECO,17.6,G,Y,,
September,14,2021,MEGY,SMU campus,196,196,,,,,15.3,G,N,"4.3, 5.4",
September,14,2021,MEGY,SMU campus,197,197,,,,,28.4,G,N,,
September,14,2021,MEGY,SMU campus,200,200,,,,GIBI,6.9,G,N,,
September,14,2021,MEGY,SMU campus,207,207,,,,,14,G,N,"10.8, 3.5",
September,14,2021,MEGY,SMU campus,208,208,,,,,28,G,N,"26.3,27.1, 22.1",
September,14,2021,MEGY,SMU campus,210,210,,,,,26.1,G,N,"20, 26.3","e, f?"
September,14,2021,KJCL,SMU campus,211,211,,,,FREX,63.9,G,N,Bird box,
September,14,2021,KJCL,SMU campus,212,212,,,,JUNI,16.3,F,N,"insect damage, brown leaves",
September,14,2021,KJCL,SMU campus,213,213,,,,MASI,5,F,N,"DBH: 4.2, 3.9, 2.9, 2.6. Shrublike",
September,14,2021,KJCL,SMU campus,214,214,,,,CALA,11.2,G,N,,
September,14,2021,KJCL,SMU campus,215,215,,,,QURO,34.2,G,N,Lights and fungal disease,
September,14,2021,KJCL,SMU campus,216,216,,,,QURO,30,G,Y,Fungal disease,
September,14,2021,KJCL,SMU campus,217,217,,,,CAOV,8.5,G,N,,
September,14,2021,KJCL,SMU campus,218,218,,,,MAST,7.7,G,N,"DBH: 6.4, 5.0, 4.0, 4.9",
September,14,2021,KJCL,SMU campus,219,219,,,,FREX,52.7,F,N,"DBH: 40.0. insect damage, fungal disease",
September,14,2021,KJCL,SMU campus,221,221,,,,GIBI,19.5,G,Y,,
September,14,2021,KJCL,SMU campus,222,222,,,,ACPE,13.9,G,N,"DBH: 13.2,9.1",
September,14,2021,KJCL,SMU campus,225,225,,,,COAL,8,G,N,,
September,14,2021,KJCL,SMU campus,226,226,,,,MABR,14.1,G,N,,
September,14,2021,KJCL,SMU campus,235,235,,,,Malus sp.,20.1,G,N,"DBH: 16.7, 17.7, 7.4, 12.8",
September,14,2021,KJCL,SMU campus,236,236,,,,AMLA,6.7,G,Y,"Shrublike, DBH:3.3, 3.4, 5.2",
September,14,2021,KJCL,SMU campus,237,237,,,,Malus sp.,17.5,G,N,"DBH: 17.2, 9.1, 9.5, 9.9, 6.8",
September,14,2021,KJCL,SMU campus,238,238,,,,Malus sp.,4.3,F,N,DBH: 3.5,
September,14,2021,KJCL,SMU campus,239,239,,,,Malus sp.,8.6,P,N,"DBH: 5.1, 5.1, 5.4",
September,14,2021,MEGY,SMU campus,240,240,,,,,16.1,F,N,"15.3, 9.8",
September,6,2021,KJCL,SMU campus,241,241,,,,ULGL,131.1,G,N,,
September,6,2021,KJCL,SMU campus,242,242,,,,ULGL,77.4,G,N,,
September,6,2021,KJCL,SMU campus,243,243,,,,,17.9,G,N,not a moutain elm is moutain ash,
September,6,2021,KJCL,SMU campus,244,244,,,,ULGL,98.4,G,Y,,
September,6,2021,KJCL,SMU campus,245,245,,,,ULGL,88,G,Y,,
September,6,2021,KJCL,SMU campus,246,246,,,,ULGL,92.4,G,N,,
September,14,2021,MEGY,SMU campus,247,247,,,,,77,G,N,,
September,14,2021,KJCL,SMU campus,248,248,,,,ULAM,87.1,G,Y,,
September,14,2021,KJCL,SMU campus,249,249,,,,ULAM,55.9,G,N,nest box,
September,14,2021,KJCL,SMU campus,250,250,,,,ULAM,62.7,G,N,,
September,14,2021,KJCL,SMU campus,251,251,,,,ULAM,90.8,G,Y,,
September,14,2021,KJCL,SMU campus,252,252,,,,ULAM,69.2,G,N,,
September,14,2021,KJCL,SMU campus,253,253,,,,ULAM,78.6,G,N,,
September,14,2021,KJCL,SMU campus,254,254,,,,ULAM,106.1,G,Y,nest box,
September,14,2021,KJCL,SMU campus,255,255,,,,ULAM,94.1,G,Y,leaf damage,
September,14,2021,MEGY,SMU campus,256,256,,,,,49,G,N,,
September,14,2021,MEGY,SMU campus,257,257,,,,,59.5,G,N,,
September,14,2021,MEGY,SMU campus,259,259,,,,TIAM,49,G,N,,
September,14,2021,MEGY,SMU campus,260,260,,,,TIAM,28.1,G,N,,
September,14,2021,KJCL,SMU campus,261,261,,,,ULAM,56.5,F,N,leaf damage,
September,14,2021,KJCL,SMU campus,263,263,,,,ULAM,50.9,F,Y,,
September,14,2021,KJCL,SMU campus,265,265,,,,ULAM,23.4,F, ,"23.4cm, 20.1cm, 16.0cm, 15.0cm",
September,14,2021,KJCL,SMU campus,266,266,,,,ULAM,66.2,G,Y,leaf damage,
September,14,2021,KJCL,SMU campus,267,267,,,,ULAM,138,F,Y,nest box,
September,14,2021,KJCL,SMU campus,268,268,,,,ACSA,34,F,N,,
September,14,2021,KJCL,SMU campus,269,269,,,,ACPL,52.1,G,N,fungal disease,
September,14,2021,KJCL,SMU campus,272,272,,,,FREX,22.5,G,N,,
September,14,2021,KJCL,SMU campus,277,277,,,,FREX,22.5,G,N,,
September,14,2021,KJCL,SMU campus,283,283,,,,FREX,43.8,G,N,,
September,14,2021,KJCL,SMU campus,284,284,,,,FREX,39.8,G,N,DBH: 25.9,
September,14,2021,KJCL,SMU campus,285,285,,,,FREX,46.9,G,Y,,
September,14,2021,KJCL,SMU campus,291,291,,,,FREX,13.6,G,N,,
September,14,2021,KJCL,SMU campus,296,296,,,,Malus sp.,15.3,G,N,,
September,14,2021,KJCL,SMU campus,297,297,,,,FREX,79.7,F,Y,"nest box, cut halfway up",
September,14,2021,KJCL,SMU campus,298,298,,,,QURU,104.2,G,N,,
September,14,2021,KJCL,SMU campus,299,299,,,,ACPL,38.8,G,Y,fungal disease,
September,14,2021,KJCL,SMU campus,300,300,,,,ULAM,103.9,F,Y,,
September,14,2021,KJCL,SMU campus,301,301,,,,ULAM,55,G,N,,
September,14,2021,KJCL,SMU campus,302,302,,,,ACPL,33,F,N,"nest box, fungal disease",
September,14,2021,KJCL,SMU campus,304,304,,,,ULAM,38.3,F,N,leaf damage,
September,14,2021,KJCL,SMU campus,305,305,,,,ULAM,95,G,N,,
September,14,2021,KJCL,SMU campus,306,306,,,,ULAM,50.3,G,Y,nest box,
September,14,2021,MEGY,SMU campus,307,307,,,,TIAM,91.8,G,Y,,
September,14,2021,MEGY,SMU campus,308,308,,,,,36.4,G,N,Galls,
September,14,2021,MEGY,SMU campus,309,309,,,,,38.7,G,N,DBH: 31.5,
September,14,2021,MEGY,SMU campus,310,310,,,,,58.4,G,N,scorched leaves,id on map
September,14,2021,MEGY,SMU campus,312,312,,,,,40.2,G,Y,scorched leaves,id on map
September,14,2021,MEGY,SMU campus,313,313,,,,,58,G,N,,id on map
September,14,2021,MEGY,SMU campus,314,314,,,,,22.8,G,N,,id on map
September,14,2021,MEGY,SMU campus,315,315,,,,,20.2,G,N,scorched leaves,id on map
September,14,2021,MEGY,SMU campus,316,316,,,,,32.5,G,Y,"DBH: 31, 29.3, 26.2. Scorched leaves",id on map
September,14,2021,MEGY,SMU campus,317,317,,,,,53.5,G,N,,id on map
September,14,2021,MEGY,SMU campus,318,318,,,,,28.1,G,N,,id on map
September,14,2021,KJCL,SMU campus,319,319,,,,ULAM,113.2,F,Y,nest box,
September,14,2021,MEGY,SMU campus,321,321,,,,,90.1,G,Y,scorched leaves,id on map
September,14,2021,MEGY,SMU campus,322,322,,,,,56.8,G,Y,scorched leaves,id on map
September,14,2021,MEGY,SMU campus,323,323,,,,,57.5,G,N,scorched leaves,id on map
September,14,2021,MEGY,SMU campus,325,325,,,,,54.4,G,N,DBH: 51.6,id on map
September,14,2021,MEGY,SMU campus,326,326,,,,,44.6,G,Y,,id on map
September,14,2021,MEGY,SMU campus,327,327,,,,,13.8,G,N,"DBH: 12.4, 13.4",id on map
September,14,2021,MEGY,SMU campus,328,328,,,,,77.4,G,Y,DBH: 38.8,id on map
September,14,2021,MEGY,SMU campus,329,329,,,,,45.3,G,N,"DBH: 26.0,33.0",id on map
September,14,2021,MEGY,SMU campus,330,330,,,,,73.1,G,N,scorched leaves,id on map
September,14,2021,MEGY,SMU campus,331,331,,,,,40.7,G,N,,id on map
September,14,2021,MEGY,SMU campus,332,332,,,,,52.8,G,N,scorched leaves,id on map
September,14,2021,MEGY,SMU campus,335,335,,,,,44.6,G,N,Scorched leaves,
September,14,2021,MEGY,SMU campus,336,336,,,,,124.5,G,Y,Scorched leaves,
September,14,2021,MEGY,SMU campus,337,337,,,,,86.6,G,Y,,
September,14,2021,MEGY,SMU campus,338,338,,,,,52.4,G,Y,Diseased leaves,
September,14,2021,MEGY,SMU campus,339,339,,,,,50.1,G,Y,,
September,14,2021,MEGY,SMU campus,340,340,,,,,36.6,G,N,,
September,14,2021,MEGY,SMU campus,341,341,,,,,28.5,G,N,,
September,14,2021,MEGY,SMU campus,342,342,,,,,62.4,G,Y,,
September,21,2021,MEGY,SMU campus,344,344,,,,,7.2,G,N,,
September,6,2021,KJCL,SMU campus,345,345,,,,ACPL,31.5,F,Y,fungal disease on leaves,
September,21,2021,MEGY,SMU campus,346,346,,,,ACPL,43.5,G,N,spotted leaves,
September,14,2021,KJCL,SMU campus,348,348,,,,ACPL,47.3,G,N,DBH: 17.5 - fungal disease,
September,14,2021,KJCL,SMU campus,349,349,,,,ACPL,38.3,F,Y,"DBH:37.5, 28.1",
September,14,2021,KJCL,SMU campus,350,350,,,,FREX,36.6,F,N,,
September,14,2021,KJCL,SMU campus,351,351,,,,FREX,21.5,G,N,,
September,14,2021,KJCL,SMU campus,352,352,,,,ULAM,24.5,F,N,,
September,14,2021,KJCL,SMU campus,353,353,,,,ULAM,35.2,F,N,leaf damage-DBH:27.3,
September,14,2021,KJCL,SMU campus,355,355,,,,FREX,21.7,F,N,"DBH: 19.5, 18.4, 17.3",
September,21,2021,KJCL,SMU campus,479,479,,,,QURU,75.1,G,Y,,
September,21,2021,KJCL,SMU campus,480,480,,,,QURU,43.2,G,N,major brances cut from canopy,
September,21,2021,KJCL,SMU campus,481,481,,,,QURU,66.9,G,N,,
September,21,2021,KJCL,SMU campus,482,482,,,,QURU,44.3,G,N,,
September,21,2021,KJCL,SMU campus,483,483,,,,QURU,68.4,F,N,,
September,21,2021,KJCL,SMU campus,486,486,,,,QURU,70.5,G,N,,
September,21,2021,KJCL,SMU campus,487,487,,,,PISY,19.7,G,N,,
September,21,2021,KJCL,SMU campus,488,488,,,,QURU,79.6,G,N,,
September,21,2021,KJCL,SMU campus,489,489,,,,ACRU,26.2,P,Y,dead with no canopy,
September,21,2021,KJCL,SMU campus,490,490,,,,TICO,22.2,G,N,,
September,21,2021,KJCL,SMU campus,491,491,,,,TICO,21.6,G,N,,
September,21,2021,KJCL,SMU campus,492,492,,,,ACPA,11.8,G,Y,"10.1, 8.0",
September,21,2021,KJCL,SMU campus,493,493,,,,Cypress sp.,12.9,G,Y,5.1 (missing trunk and top cut off),
September,21,2021,KJCL,SMU campus,494,494,,,,Cypress sp.,10.3,G,Y,"7.1, 5.8, 10.0, 9.4, 6.7 (vine on trunk - ivy)",
September,21,2021,KJCL,SMU campus,495,495,,,,PIST,68.6,G,N,,
September,6,2021,KJCL,SMU campus,499,499,,,,,1.53,F,N,"browning of leaves and insect damage, chestnut sp?",
September,6,2021,KJCL,SMU campus,500,500,,,,,1,G,N,likely larex spp.,
September,6,2021,KJCL,SMU campus,501,501,,,,,7.3,G,N,chestnut? tethering,
September,14,2021,MEGY,SMU campus,502,502,,,,ACRU,13.1,G,Y,,
September,14,2021,MEGY,SMU campus,503,503,,,,ACRU,15.9,G,Y,Galls,
September,14,2021,MEGY,SMU campus,505,505,,,,ACRU,17,G,N,galls,
September,14,2021,MEGY,SMU campus,506,506,,,,ACRU,12.3,G,Y,galls,
September,14,2021,MEGY,SMU campus,507,507,,,,,13.4,G,N,galls,
September,14,2021,MEGY,SMU campus,508,508,,,,,7.4,G,Y,,
September,14,2021,MEGY,SMU campus,509,509,,,,ULAM,42.7,G,N,,
September,14,2021,MEGY,SMU campus,510,510,,,,,9.9,G,N,,id on map
September,14,2021,MEGY,SMU campus,511,511,,,,LITU,8.3,G,N,,
September,14,2021,MEGY,SMU campus,512,512,,,,CEOC,6.5,F,N,,
September,14,2021,MEGY,SMU campus,513,513,,,,ULAM,8.6,G,N,,
September,14,2021,MEGY,SMU campus,514,514,,,,ALSP,5.6,G,N,scorched leaves,
September,14,2021,MEGY,SMU campus,515,515,,,,PYCA,8.7,G,N,,
September,14,2021,MEGY,SMU campus,516,516,,,,PYCA,9.7,G,N,,
September,14,2021,MEGY,SMU campus,517,517,,,,PLAC,10.8,G,N,,
September,14,2021,MEGY,SMU campus,518,518,,,,JUNY,3.8,G,N,tethered,
September,14,2021,MEGY,SMU campus,519,519,,,,CEOC,5.8,F,N,,
September,14,2021,MEGY,SMU campus,520,520,,,,PLAC,6.8,G,N,,
September,14,2021,MEGY,SMU campus,521,521,,,,,5.6,F,N,,id on map
September,14,2021,MEGY,SMU campus,522,522,,,,,5.4,F,N,,id on map
September,14,2021,KJCL,SMU campus,524,524,,,,ACRU,10.5,G,Y,galls,
September,14,2021,KJCL,SMU campus,525,525,,,,ACRU,7.5,G,Y,,
September,14,2021,KJCL,SMU campus,526,526,,,,SOAU,3.3,F,N,DBH: 3.0,
September,14,2021,KJCL,SMU campus,527,527,,,,SOAU,5.7,G,N,,
September,14,2021,KJCL,SMU campus,528,528,,,,ACRU,8.8,G,N,galls,
September,14,2021,KJCL,SMU campus,529,529,,,,ACRU,7,P,Y,,
September,14,2021,KJCL,SMU campus,532,532,,,,LITU,10.9,G,N,,
September,14,2021,KJCL,SMU campus,533,533,,,,LITU,11.1,G,N,,
September,14,2021,KJCL,SMU campus,534,534,,,,LITU,11.9,G,N,INat ID,
September,14,2021,MEGY,SMU campus,535,535,,,,,23.1,G,N,,
September,14,2021,MEGY,SMU campus,538,538,,,,,22.6,G,N,,
September,14,2021,MEGY,SMU campus,539,539,,,,,8.3,G,N,,
September,14,2021,MEGY,SMU campus,540,540,,,,,5.4,G,N,"DBH: 5.2, 2.3",
September,14,2021,MEGY,SMU campus,541,541,,,,,4.1,G,N,,
September,14,2021,MEGY,SMU campus,542,542,,,,,6.3,G,N,,
